Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,330815,"Fog spraynozzle brass 2"" M BSP - L=1350mm",bss2np,,169.43
RUBAFLEX B.V.,330816,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 40A,#60000975,,142.43
RUBAFLEX B.V.,330817,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 40A,#60000976,,142.43
RUBAFLEX B.V.,330818,Nozzle brass 50mm BSP male Applicator L=1350 Nakajima 65A,#60000980,,142.43
RUBAFLEX B.V.,330819,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 65A,#60000981,,142.43
RUBAFLEX B.V.,330820,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 65A,#60000982,,142.43
RUBAFLEX B.V.,330821,"Fog nozzle 3 position [Al] nakajima 1-1/2"" 40a with handl",#60000932,,52.5
RUBAFLEX B.V.,330822,"Fog nozzle 3 position [Al] nakajima 2"" 50a with handle",#60000933,,55.5
RUBAFLEX B.V.,330823,"Fog nozzle 3 position [Al] nakajima 2-1/2"" 65a with handl",#60000934,,60
RUBAFLEX B.V.,330825,"Fog nozzle 3 position [Al] pin lug 1-1/2"" 40a with handle",#60000928,,72.5
RUBAFLEX B.V.,330827,"Fog nozzle 3 position [Al] pin lug 2-1/2"" 65a with handle",#60000929,,72.5
RUBAFLEX B.V.,330830,"Fog nozzle 3 position brass BSP male 2""",fog2bu,,82.5
RUBAFLEX B.V.,330831,Fog nozzle Nakajima brass lug 61mm - 3 position,bss1.5nak,,62.5
RUBAFLEX B.V.,330832,Fog nozzle Nakajima brass lug 72mm - 3 position,bss2nak,,45.55
RUBAFLEX B.V.,330833,Fog nozzle Nakajima brass lug 91mm - 3 position,bss2.5nak,,62.5
RUBAFLEX B.V.,330834,"Fog nozzle USA brass 1.5"" female - 3 position",bss1.5usa,,61.5
RUBAFLEX B.V.,330836,"Fog nozzle USA brass 2.5"" female - 3 position",bss2.5usa,,63.5
